Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20240419_Operator 5_firm_G1_R3_5.TIF,99,5.867,0.059,5.566,255,3.113,0.155,0.401
20240419_Operator 5_firm_G1_R3_6.TIF,108,6.028,0.056,5.719,255,2.762,0.163,0.427
20240419_Operator 5_firm_G2_R1_1.TIF,113,6.819,0.06,6.469,255,2.846,0.167,0.431
20240419_Operator 5_firm_G2_R1_2.TIF,105,3.923,0.037,3.722,255,2.082,0.174,0.426
20240419_Operator 5_firm_G2_R1_3.TIF,111,5.235,0.047,4.967,255,2.518,0.18,0.429
20240419_Operator 5_firm_G2_R1_4.TIF,107,5.295,0.049,5.024,255,2.566,0.155,0.392
20240419_Operator 5_firm_G2_R1_5.TIF,120,9.165,0.076,8.695,255,3.486,0.146,0.402
20240419_Operator 5_firm_G2_R1_6.TIF,124,5.383,0.043,5.107,255,2.141,0.184,0.453
20240419_Operator 5_firm_G2_R2_1.TIF,143,6.561,0.046,6.224,255,2.263,0.184,0.445
20240419_Operator 5_firm_G2_R2_2.TIF,106,5.895,0.056,5.593,255,2.774,0.167,0.415
20240419_Operator 5_firm_G2_R2_3.TIF,107,5.426,0.051,5.148,255,2.565,0.183,0.438
20240419_Operator 5_firm_G2_R2_4.TIF,127,5.565,0.044,5.279,255,2.346,0.166,0.419
20240419_Operator 5_firm_G2_R2_5.TIF,114,4.586,0.04,4.351,255,2.268,0.168,0.409
20240419_Operator 5_firm_G2_R2_6.TIF,124,5.855,0.047,5.555,255,2.459,0.164,0.411
20240419_Operator 5_firm_G2_R3_1.TIF,137,7.63,0.056,7.239,255,2.581,0.166,0.42
20240419_Operator 5_firm_G2_R3_2.TIF,118,6.236,0.053,5.917,255,2.719,0.174,0.434
20240419_Operator 5_firm_G2_R3_3.TIF,96,3.932,0.041,3.73,255,2.143,0.164,0.411
20240419_Operator 5_firm_G2_R3_4.TIF,127,3.989,0.031,3.784,255,1.762,0.2,0.462
20240419_Operator 5_firm_G2_R3_5.TIF,100,4.014,0.04,3.808,255,2.09,0.178,0.435
20240419_Operator 5_firm_G2_R3_6.TIF,178,6.389,0.036,6.062,255,1.283,0.298,0.707
20240419_Operator 5_gentle_G1_R1_1.TIF,31,0.983,0.032,0.932,255,1.912,0.167,0.413
20240419_Operator 5_gentle_G1_R1_2.TIF,26,0.807,0.031,0.766,255,1.96,0.167,0.403
20240419_Operator 5_gentle_G1_R1_3.TIF,32,0.954,0.03,0.906,255,1.825,0.172,0.422
20240419_Operator 5_gentle_G1_R1_4.TIF,25,1.101,0.044,1.044,255,2.414,0.136,0.358
20240419_Operator 5_gentle_G1_R1_5.TIF,24,0.604,0.025,0.573,255,1.651,0.167,0.425
